,Unnamed: 0,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
0,4424079,45,0,5e-06,0,0,6,0,8,2,80,0,0,1
1,16452501,45,0,1e-06,0,0,6,0,8,2,80,0,0,1
2,75577252,1,0,2e-06,0,0,6,0,8,2,80,0,0,1
3,64755302,45,0,5e-06,0,0,6,0,8,2,80,0,0,1
4,85856171,1,0,0.000233,0,0,6,0,8,2,80,0,0,1
5,41125982,5,0,1e-06,0,0,6,0,8,2,80,0,0,1
6,68774137,45,0,5e-06,0,0,6,0,8,2,80,0,0,1
7,5612195,45,0,2e-06,0,0,6,0,8,2,80,0,0,1
8,89500797,1,0,2e-06,0,0,6,0,8,2,80,0,0,1
9,70569723,1,0,2e-06,0,0,6,0,8,2,80,0,0,1
10,34958425,5,0,2e-06,0,0,6,0,8,2,80,0,0,1
11,89092836,1,0,6e-06,0,0,6,0,8,2,80,0,0,1
12,66368150,45,0,0.000255,0,0,6,0,8,4,160,0,0,1
13,22493960,45,0,2e-06,0,0,6,0,8,2,80,0,0,1
14,3797173,45,0,6e-06,0,0,6,0,8,2,80,0,0,1
15,43746861,44,0,5e-06,0,0,6,0,8,2,80,0,0,1
16,77601082,21,0,2e-06,0,0,6,0,8,2,80,0,0,1
17,11026111,45,0,1e-06,0,0,6,0,8,2,80,0,0,1
18,64098856,1,0,3.1265,0,0,6,0,8,6,360,0,0,1
19,82480895,1,0,0.000231,0,0,6,0,8,2,80,0,0,1
20,65597711,45,0,5e-06,0,0,6,0,8,2,80,0,0,1
21,44121180,5,0,5e-06,0,0,6,0,8,2,80,0,0,1
22,9550989,5,0,5e-06,0,0,6,0,8,2,80,0,0,1
23,33584824,5,0,2e-06,0,0,6,0,8,2,80,0,0,1
24,73442752,1,0,6e-06,0,0,6,0,8,2,80,0,0,1
25,22057449,45,0,2e-06,0,0,6,0,8,2,80,0,0,1
26,65836854,45,0,0.000255,0,0,6,0,8,4,160,0,0,1
27,39100053,45,0,2e-06,0,0,6,0,8,2,80,0,0,1
28,64502768,45,0,5e-06,0,0,6,0,8,2,80,0,0,1
29,31329216,45,0,6e-06,0,0,6,0,8,2,80,0,0,1
30,37905844,5,0,5e-06,0,0,6,0,8,2,80,0,0,1
31,15451427,45,0,2e-06,0,0,6,0,8,2,80,0,0,1
32,13418765,45,0,2e-06,0,0,6,0,8,2,80,0,0,1
33,87235820,1,0,2e-06,0,0,6,0,8,2,80,0,0,1
34,4871797,5,0,2e-06,0,0,6,0,8,2,80,0,0,1
35,86548450,1,0,2e-06,0,0,6,0,8,2,80,0,0,1
36,73087275,1,0,2e-06,0,0,6,0,8,2,80,0,0,1
37,68263723,45,0,5e-06,0,0,6,0,8,2,80,0,0,1
38,88080273,1,0,2e-06,0,0,6,0,8,2,80,0,0,1
39,67467559,45,0,4e-06,0,0,6,0,8,2,80,0,0,1
40,85280887,21,0,2e-06,0,0,6,0,8,2,80,0,0,1
41,68709758,45,0,0.000253,0,0,6,0,8,4,160,0,0,1
42,12029075,5,0,2e-06,0,0,6,0,8,2,80,0,0,1
43,26002384,45,0,5e-06,0,0,6,0,8,2,80,0,0,1
44,44945588,45,0,2e-06,0,0,6,0,8,2,80,0,0,1
45,25505596,45,0,2e-06,0,0,6,0,8,2,80,0,0,1
46,45908125,5,0,2e-06,0,0,6,0,8,2,80,0,0,1
47,61364360,1,0,3.129228,0,0,6,0,8,6,360,0,0,1
48,42635216,5,0,1e-06,0,0,6,0,8,2,80,0,0,1
49,38173825,45,0,2e-06,0,0,6,0,8,2,80,0,0,1
50,61440209,1,0,2e-06,0,0,6,0,8,2,120,0,0,1
51,21343643,5,0,1e-06,0,0,6,0,8,2,80,0,0,1
52,75630377,1,0,6e-06,0,0,6,0,8,2,80,0,0,1
53,13596104,5,0,2e-06,0,0,6,0,8,2,80,0,0,1
54,81585018,1,0,2e-06,0,0,6,0,8,2,80,0,0,1
55,72992304,1,0,2e-06,0,0,6,0,8,2,80,0,0,1
56,79918533,1,0,2e-06,0,0,6,0,8,2,80,0,0,1
57,41875204,45,0,2e-06,0,0,6,0,8,2,80,0,0,1
58,83046067,1,0,2e-06,0,0,6,0,8,2,80,0,0,1
59,16647638,45,0,2e-06,0,0,6,0,8,2,80,0,0,1
